,tile_id,SC1,SC2,SC3,SC4,SC5,SC6,SC7
276,67_20,0.386,0.6649,0.7464,0.8354,0.8716,0.8924,0.9055
277,67_21,0.393,0.5645,0.6341,0.714,0.7526,0.7772,0.7955
278,67_22,0.4,0.4,0.4,0.6,0.667,0.667,0.796
279,68_14,0.2,0.2,0.2,0.362,0.488,0.575,0.6885
280,68_18,0.231,0.6081,0.759,0.884,0.9296,0.9504,0.9575
281,68_19,0.4069,0.4069,0.5719,0.657,0.6885,0.7238,0.775
282,68_21,0.622,0.622,0.778,0.8,0.8,0.8,0.851
283,69_21,0.111,0.111,0.111,0.222,0.2996,0.333,0.5755
284,69_24,0.0709,0.0709,0.0709,0.1429,0.1926,0.214,0.3804
285,7_12,0.41,0.6665,0.7565,0.8718,0.9311,0.9634,0.9815
286,7_33,0.045,0.045,0.091,0.1728,0.227,0.3,0.426
287,70_11,0.153,0.3303,0.4221,0.5116,0.559,0.586,0.605
288,70_15,0.123,0.217,0.2931,0.42,0.5318,0.614,0.73
289,70_20,0.2859,0.2859,0.2859,0.5,0.6,0.643,0.794
290,70_24,0.148,0.412,0.558,0.7231,0.8181,0.8718,0.8935
291,70_25,0.144,0.4388,0.6523,0.805,0.8439,0.867,0.88
292,70_9,0.1,0.1,0.1,0.2,0.2699,0.3,0.5225
293,71_11,0.0709,0.0709,0.0709,0.1429,0.1926,0.214,0.3804
294,71_15,0.167,0.5319,0.707,0.8206,0.8805,0.9202,0.9455
295,71_19,0.133,0.133,0.133,0.267,0.4,0.533,0.796
296,71_25,0.214,0.6936,0.8215,0.8876,0.9159,0.9334,0.9424
297,71_7,0.236,0.4645,0.5705,0.7088,0.7821,0.8222,0.852
298,71_8,0.161,0.482,0.7107,0.8666,0.9166,0.9338,0.9404
299,72_11,0.5,0.5,0.719,0.843,0.869,0.875,0.895
300,72_12,0.161,0.293,0.5118,0.729,0.8523,0.9128,0.937
301,72_15,0.277,0.6289,0.7311,0.8121,0.8647,0.8992,0.9205
302,72_19,0.202,0.3226,0.468,0.5846,0.662,0.7191,0.7765
303,72_20,0.182,0.182,0.312,0.4,0.4828,0.519,0.5814
304,72_21,0.162,0.2741,0.364,0.4944,0.5588,0.592,0.6234
305,72_22,0.124,0.4393,0.6012,0.7546,0.8159,0.8476,0.8625
306,72_24,0.083,0.1504,0.2062,0.3,0.3699,0.405,0.446
307,72_25,0.164,0.5493,0.6732,0.7642,0.8089,0.835,0.851
308,72_28,0.443,0.6691,0.799,0.8786,0.882,0.882,0.905
309,72_29,0.5,0.5,0.729,0.877,0.9094,0.917,1.0
310,72_7,0.171,0.171,0.171,0.343,0.514,0.686,0.9525
311,73_12,0.667,0.667,0.667,0.667,0.833,0.833,1.0
